,Month,Rainfall,forecast
1970-01-01 00:00:00.000000292,1925-05-01,258.2,
1970-01-01 00:00:00.000000293,1925-06-01,688.8,
1970-01-01 00:00:00.000000294,1925-07-01,593.5,
1970-01-01 00:00:00.000000295,1925-08-01,554.1,
1970-01-01 00:00:00.000000296,1925-09-01,158.8,
1970-01-01 00:00:00.000000297,1925-10-01,295.4,
1970-01-01 00:00:00.000000298,1925-11-01,223.7,
1970-01-01 00:00:00.000000299,1925-12-01,98.8,
1970-01-01 00:00:00.000000300,1926-01-01,28.6,
1970-01-01 00:00:00.000000301,1926-02-01,5.8,
1970-01-01 00:00:00.000000302,1926-03-01,23.1,
1970-01-01 00:00:00.000000303,1926-04-01,55.8,
1970-01-01 00:00:00.000000304,1926-05-01,222.6,
1970-01-01 00:00:00.000000305,1926-06-01,563.9,
1970-01-01 00:00:00.000000306,1926-07-01,885.2,
1970-01-01 00:00:00.000000307,1926-08-01,536.0,
1970-01-01 00:00:00.000000308,1926-09-01,322.7,
1970-01-01 00:00:00.000000309,1926-10-01,216.7,
1970-01-01 00:00:00.000000310,1926-11-01,88.8,
1970-01-01 00:00:00.000000311,1926-12-01,16.2,
1970-01-01 00:00:00.000000312,1927-01-01,18.8,
1970-01-01 00:00:00.000000313,1927-02-01,35.3,
1970-01-01 00:00:00.000000314,1927-03-01,49.6,
1970-01-01 00:00:00.000000315,1927-04-01,86.5,
1970-01-01 00:00:00.000000316,1927-05-01,265.4,
1970-01-01 00:00:00.000000317,1927-06-01,720.2,
1970-01-01 00:00:00.000000318,1927-07-01,888.2,
1970-01-01 00:00:00.000000319,1927-08-01,315.0,
1970-01-01 00:00:00.000000320,1927-09-01,335.6,
1970-01-01 00:00:00.000000321,1927-10-01,135.8,
1970-01-01 00:00:00.000000322,1927-11-01,137.6,
1970-01-01 00:00:00.000000323,1927-12-01,6.8,
1970-01-01 00:00:00.000000324,1928-01-01,12.7,
1970-01-01 00:00:00.000000325,1928-02-01,65.9,
1970-01-01 00:00:00.000000326,1928-03-01,51.3,
1970-01-01 00:00:00.000000327,1928-04-01,121.1,
1970-01-01 00:00:00.000000328,1928-05-01,81.9,
1970-01-01 00:00:00.000000329,1928-06-01,590.7,
1970-01-01 00:00:00.000000330,1928-07-01,420.6,
1970-01-01 00:00:00.000000331,1928-08-01,553.2,
1970-01-01 00:00:00.000000332,1928-09-01,75.9,
1970-01-01 00:00:00.000000333,1928-10-01,321.5,
1970-01-01 00:00:00.000000334,1928-11-01,155.2,
1970-01-01 00:00:00.000000335,1928-12-01,52.7,
1970-01-01 00:00:00.000000336,1929-01-01,12.8,
1970-01-01 00:00:00.000000337,1929-02-01,29.8,
1970-01-01 00:00:00.000000338,1929-03-01,58.9,
1970-01-01 00:00:00.000000339,1929-04-01,210.7,
1970-01-01 00:00:00.000000340,1929-05-01,148.0,
1970-01-01 00:00:00.000000341,1929-06-01,946.6,
1970-01-01 00:00:00.000000342,1929-07-01,844.0,
1970-01-01 00:00:00.000000343,1929-08-01,293.9,
1970-01-01 00:00:00.000000344,1929-09-01,268.9,
1970-01-01 00:00:00.000000345,1929-10-01,350.4,
1970-01-01 00:00:00.000000346,1929-11-01,158.2,
1970-01-01 00:00:00.000000347,1929-12-01,39.4,
1970-01-01 00:00:00.000000348,1930-01-01,10.8,
1970-01-01 00:00:00.000000349,1930-02-01,10.8,
1970-01-01 00:00:00.000000350,1930-03-01,39.0,
1970-01-01 00:00:00.000000351,1930-04-01,102.7,
1970-01-01 00:00:00.000000352,1930-05-01,404.9,
1970-01-01 00:00:00.000000353,1930-06-01,633.1,
1970-01-01 00:00:00.000000354,1930-07-01,401.7,
1970-01-01 00:00:00.000000355,1930-08-01,273.4,
1970-01-01 00:00:00.000000356,1930-09-01,411.5,
1970-01-01 00:00:00.000000357,1930-10-01,433.9,
1970-01-01 00:00:00.000000358,1930-11-01,207.0,
1970-01-01 00:00:00.000000359,1930-12-01,89.2,
1970-01-01 00:00:00.000000360,1931-01-01,3.3,
1970-01-01 00:00:00.000000361,1931-02-01,0.3,
1970-01-01 00:00:00.000000362,1931-03-01,19.2,
1970-01-01 00:00:00.000000363,1931-04-01,126.9,
1970-01-01 00:00:00.000000364,1931-05-01,131.7,
1970-01-01 00:00:00.000000365,1931-06-01,541.7,
1970-01-01 00:00:00.000000366,1931-07-01,653.9,
1970-01-01 00:00:00.000000367,1931-08-01,1199.2,
1970-01-01 00:00:00.000000368,1931-09-01,163.2,
1970-01-01 00:00:00.000000369,1931-10-01,149.3,
1970-01-01 00:00:00.000000370,1931-11-01,164.3,
1970-01-01 00:00:00.000000371,1931-12-01,106.5,
1970-01-01 00:00:00.000000372,1932-01-01,0.1,
1970-01-01 00:00:00.000000373,1932-02-01,19.3,
1970-01-01 00:00:00.000000374,1932-03-01,28.6,
1970-01-01 00:00:00.000000375,1932-04-01,113.0,
1970-01-01 00:00:00.000000376,1932-05-01,646.5,
1970-01-01 00:00:00.000000377,1932-06-01,341.0,
1970-01-01 00:00:00.000000378,1932-07-01,716.4,
1970-01-01 00:00:00.000000379,1932-08-01,423.2,
1970-01-01 00:00:00.000000380,1932-09-01,317.3,
1970-01-01 00:00:00.000000381,1932-10-01,543.2,
1970-01-01 00:00:00.000000382,1932-11-01,223.2,
1970-01-01 00:00:00.000000383,1932-12-01,31.3,
1970-01-01 00:00:00.000000384,1933-01-01,1.0,
1970-01-01 00:00:00.000000385,1933-02-01,9.3,
1970-01-01 00:00:00.000000386,1933-03-01,36.9,
1970-01-01 00:00:00.000000387,1933-04-01,139.5,
1970-01-01 00:00:00.000000388,1933-05-01,738.8,
1970-01-01 00:00:00.000000389,1933-06-01,859.3,
1970-01-01 00:00:00.000000390,1933-07-01,773.4,
1970-01-01 00:00:00.000000391,1933-08-01,479.5,
1970-01-01 00:00:00.000000392,1933-09-01,469.7,
1970-01-01 00:00:00.000000393,1933-10-01,397.0,
1970-01-01 00:00:00.000000394,1933-11-01,126.1,
1970-01-01 00:00:00.000000395,1933-12-01,42.3,
1970-01-01 00:00:00.000000396,1934-01-01,74.5,
1970-01-01 00:00:00.000000397,1934-02-01,1.7,
1970-01-01 00:00:00.000000398,1934-03-01,47.7,
1970-01-01 00:00:00.000000399,1934-04-01,92.4,
1970-01-01 00:00:00.000000400,1934-05-01,106.7,
1970-01-01 00:00:00.000000401,1934-06-01,852.9,
1970-01-01 00:00:00.000000402,1934-07-01,415.0,
1970-01-01 00:00:00.000000403,1934-08-01,337.2,
1970-01-01 00:00:00.000000404,1934-09-01,48.4,
1970-01-01 00:00:00.000000405,1934-10-01,335.9,
1970-01-01 00:00:00.000000406,1934-11-01,93.4,
1970-01-01 00:00:00.000000407,1934-12-01,4.9,
1970-01-01 00:00:00.000000408,1935-01-01,23.9,
1970-01-01 00:00:00.000000409,1935-02-01,8.3,
1970-01-01 00:00:00.000000410,1935-03-01,18.1,
1970-01-01 00:00:00.000000411,1935-04-01,120.7,
1970-01-01 00:00:00.000000412,1935-05-01,56.6,
1970-01-01 00:00:00.000000413,1935-06-01,431.3,
1970-01-01 00:00:00.000000414,1935-07-01,687.3,
1970-01-01 00:00:00.000000415,1935-08-01,280.9,
1970-01-01 00:00:00.000000416,1935-09-01,283.3,
1970-01-01 00:00:00.000000417,1935-10-01,403.8,
1970-01-01 00:00:00.000000418,1935-11-01,153.0,
1970-01-01 00:00:00.000000419,1935-12-01,30.9,
1970-01-01 00:00:00.000000420,1936-01-01,1.2,
1970-01-01 00:00:00.000000421,1936-02-01,16.5,
1970-01-01 00:00:00.000000422,1936-03-01,116.0,
1970-01-01 00:00:00.000000423,1936-04-01,34.0,
1970-01-01 00:00:00.000000424,1936-05-01,466.5,
1970-01-01 00:00:00.000000425,1936-06-01,620.8,
1970-01-01 00:00:00.000000426,1936-07-01,672.1,
1970-01-01 00:00:00.000000427,1936-08-01,367.9,
1970-01-01 00:00:00.000000428,1936-09-01,286.7,
1970-01-01 00:00:00.000000429,1936-10-01,231.7,
1970-01-01 00:00:00.000000430,1936-11-01,211.1,
1970-01-01 00:00:00.000000431,1936-12-01,18.6,
1970-01-01 00:00:00.000000432,1937-01-01,6.5,
1970-01-01 00:00:00.000000433,1937-02-01,21.2,
1970-01-01 00:00:00.000000434,1937-03-01,58.7,
1970-01-01 00:00:00.000000435,1937-04-01,175.5,
1970-01-01 00:00:00.000000436,1937-05-01,137.1,
1970-01-01 00:00:00.000000437,1937-06-01,485.6,
1970-01-01 00:00:00.000000438,1937-07-01,970.5,
1970-01-01 00:00:00.000000439,1937-08-01,281.2,
1970-01-01 00:00:00.000000440,1937-09-01,139.8,
1970-01-01 00:00:00.000000441,1937-10-01,401.9,
1970-01-01 00:00:00.000000442,1937-11-01,121.0,
1970-01-01 00:00:00.000000443,1937-12-01,19.1,
1970-01-01 00:00:00.000000444,1938-01-01,0.3,
1970-01-01 00:00:00.000000445,1938-02-01,79.0,
1970-01-01 00:00:00.000000446,1938-03-01,53.3,
1970-01-01 00:00:00.000000447,1938-04-01,164.5,
1970-01-01 00:00:00.000000448,1938-05-01,179.6,
1970-01-01 00:00:00.000000449,1938-06-01,681.6,
1970-01-01 00:00:00.000000450,1938-07-01,648.6,
1970-01-01 00:00:00.000000451,1938-08-01,287.9,
1970-01-01 00:00:00.000000452,1938-09-01,223.2,
1970-01-01 00:00:00.000000453,1938-10-01,223.7,
1970-01-01 00:00:00.000000454,1938-11-01,69.5,
1970-01-01 00:00:00.000000455,1938-12-01,22.9,
1970-01-01 00:00:00.000000456,1939-01-01,13.6,
1970-01-01 00:00:00.000000457,1939-02-01,3.6,
1970-01-01 00:00:00.000000458,1939-03-01,24.9,
1970-01-01 00:00:00.000000459,1939-04-01,172.8,
1970-01-01 00:00:00.000000460,1939-05-01,105.1,
1970-01-01 00:00:00.000000461,1939-06-01,625.8,
1970-01-01 00:00:00.000000462,1939-07-01,749.6,
1970-01-01 00:00:00.000000463,1939-08-01,459.9,
1970-01-01 00:00:00.000000464,1939-09-01,134.1,
1970-01-01 00:00:00.000000465,1939-10-01,339.8,
1970-01-01 00:00:00.000000466,1939-11-01,298.1,
1970-01-01 00:00:00.000000467,1939-12-01,10.2,
1970-01-01 00:00:00.000000468,1940-01-01,0.6,
1970-01-01 00:00:00.000000469,1940-02-01,1.5,
1970-01-01 00:00:00.000000470,1940-03-01,3.8,
1970-01-01 00:00:00.000000471,1940-04-01,126.5,
1970-01-01 00:00:00.000000472,1940-05-01,217.4,
1970-01-01 00:00:00.000000473,1940-06-01,606.4,
1970-01-01 00:00:00.000000474,1940-07-01,877.3,
1970-01-01 00:00:00.000000475,1940-08-01,610.8,
1970-01-01 00:00:00.000000476,1940-09-01,68.2,
1970-01-01 00:00:00.000000477,1940-10-01,257.7,
1970-01-01 00:00:00.000000478,1940-11-01,287.5,
1970-01-01 00:00:00.000000479,1940-12-01,60.1,
